"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependants","own_telephone","foreign_worker","class"
"low balance",36,"existing paid","education",3711,"no known savings","1-3 years",2,"male mar/wid","none",2,"car",27,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"critical/order existing credit","radio/tv",385,"low savings","4-6 years",4,"female div/dep/mar","none",3,"real estate",58,"stores","own",4,"unskilled resident",1,"yes","yes","good"
"no checking",24,"critical/order existing credit","used car",4042,"no known savings","4-6 years",3,"male single","none",4,"life insurance",43,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",15,"existing paid","repairs",2631,"low savings","1-3 years",3,"female div/dep/mar","none",2,"real estate",25,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",10,"existing paid","new car",1546,"low savings","1-3 years",3,"male single","none",2,"real estate",31,"stores","own",1,"unskilled resident",2,"none","no","good"
"low balance",12,"existing paid","radio/tv",2930,"low savings","4-6 years",2,"female div/dep/mar","none",1,"real estate",27,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",6,"delayed previously","business",1449,"low savings","7 or more years",1,"male div/sep","none",2,"car",31,"bank","own",2,"skilled",2,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1582,"high savings","7 or more years",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"none","yes","good"
"overdrawn",11,"critical/order existing credit","new car",3905,"low savings","1-3 years",2,"male single","none",2,"real estate",36,"stores","rent",2,"skilled",2,"none","yes","good"
"no checking",24,"critical/order existing credit","repairs",5507,"low savings","7 or more years",3,"male single","none",4,"no known property",44,"stores","for free",2,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","radio/tv",1498,"low savings","1-3 years",4,"female div/dep/mar","none",1,"car",23,"bank","own",1,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",1262,"low savings","1-3 years",3,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"none","yes","good"
"adequate balance",6,"existing paid","new car",709,"high savings","less than 1 year",2,"male mar/wid","none",2,"real estate",27,"stores","own",1,"unemp/unskilled non res",1,"none","no","good"
"overdrawn",12,"existing paid","furniture/equipment",1262,"no known savings","7 or more years",2,"male div/sep","none",4,"life insurance",49,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",18,"critical/order existing credit","radio/tv",1880,"low savings","4-6 years",4,"male mar/wid","none",1,"life insurance",32,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",18,"existing paid","furniture/equipment",3650,"low savings","less than 1 year",1,"female div/dep/mar","none",4,"car",22,"stores","rent",1,"skilled",1,"none","yes","good"
"overdrawn",48,"existing paid","used car",4788,"low savings","4-6 years",4,"male single","none",3,"life insurance",26,"stores","own",1,"skilled",2,"none","yes","good"
"low balance",18,"critical/order existing credit","radio/tv",1795,"low savings","7 or more years",3,"female div/dep/mar","guarantor",4,"real estate",48,"bank","rent",2,"unskilled resident",1,"yes","yes","good"
"low balance",24,"delayed previously","business",6967,"low savings","4-6 years",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",700,"no known savings","7 or more years",4,"male single","none",4,"no known property",36,"stores","for free",2,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","business",1941,"high savings","1-3 years",4,"male single","none",2,"life insurance",35,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",24,"existing paid","used car",2812,"no known savings","7 or more years",2,"female div/dep/mar","none",4,"real estate",26,"stores","rent",1,"skilled",1,"none","yes","good"
"low balance",6,"delayed previously","business",1449,"low savings","7 or more years",1,"male div/sep","none",2,"car",31,"bank","own",2,"skilled",2,"none","yes","good"
"overdrawn",14,"existing paid","new car",3973,"low savings","unemployed",1,"male single","none",4,"no known property",22,"stores","for free",1,"skilled",1,"none","yes","good"
"overdrawn",24,"critical/order existing credit","radio/tv",1231,"high savings","7 or more years",4,"female div/dep/mar","none",4,"life insurance",57,"stores","rent",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",24,"existing paid","used car",2603,"high savings","1-3 years",2,"female div/dep/mar","none",4,"car",28,"stores","rent",1,"skilled",1,"yes","yes","good"
"no checking",12,"critical/order existing credit","furniture/equipment",3331,"low savings","7 or more years",2,"male single","none",4,"life insurance",42,"unknown","own",1,"skilled",1,"none","yes","good"
"overdrawn",11,"critical/order existing credit","new car",3939,"low savings","1-3 years",1,"male single","none",2,"real estate",40,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1311,"low savings","4-6 years",4,"male mar/wid","none",3,"life insurance",26,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",24,"existing paid","new car",1201,"low savings","less than 1 year",4,"male single","none",1,"life insurance",26,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",18,"delayed previously","new car",2899,"no known savings","7 or more years",4,"male single","none",4,"car",43,"stores","own",1,"skilled",2,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",2331,"no known savings","7 or more years",1,"male single","co applicant",4,"real estate",49,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",12,"existing paid","new car",6078,"low savings","4-6 years",2,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","new car",3079,"no known savings","1-3 years",4,"male single","none",4,"real estate",36,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1289,"low savings","1-3 years",4,"male single","guarantor",1,"life insurance",21,"stores","own",1,"unskilled resident",1,"none","yes","good"
"overdrawn",18,"existing paid","furniture/equipment",2659,"high savings","1-3 years",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",28,"critical/order existing credit","radio/tv",2743,"low savings","7 or more years",4,"male single","none",2,"car",29,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","new car",3518,"low savings","1-3 years",2,"male single","guarantor",3,"life insurance",26,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","business",1076,"low savings","1-3 years",2,"male mar/wid","none",2,"real estate",26,"stores","own",1,"skilled",1,"yes","no","good"
"no checking",6,"critical/order existing credit","radio/tv",1554,"low savings","4-6 years",1,"female div/dep/mar","none",2,"car",24,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",27,"existing paid","repairs",5190,"no known savings","7 or more years",4,"male single","none",4,"life insurance",48,"stores","own",4,"skilled",2,"yes","yes","good"
"no checking",36,"existing paid","new car",909,"low savings","7 or more years",4,"male single","none",4,"life insurance",36,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",6,"existing paid","furniture/equipment",1543,"high savings","1-3 years",4,"male div/sep","none",2,"real estate",33,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",2238,"low savings","1-3 years",2,"female div/dep/mar","none",1,"car",25,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","used car",5433,"no known savings","unemployed",2,"female div/dep/mar","none",4,"life insurance",26,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",18,"existing paid","radio/tv",1505,"low savings","1-3 years",4,"male single","none",2,"no known property",32,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",18,"critical/order existing credit","business",1887,"no known savings","1-3 years",4,"male mar/wid","none",4,"real estate",28,"bank","own",2,"skilled",1,"none","yes","good"
"adequate balance",12,"existing paid","new car",1330,"low savings","less than 1 year",4,"male single","none",1,"real estate",26,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",15,"existing paid","radio/tv",1979,"no known savings","7 or more years",4,"male single","none",2,"car",35,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",27,"existing paid","radio/tv",3416,"low savings","1-3 years",3,"male single","none",2,"car",27,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",12,"existing paid","new car",3527,"no known savings","less than 1 year",2,"male single","none",3,"life insurance",45,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"overdrawn",12,"critical/order existing credit","radio/tv",385,"low savings","4-6 years",4,"female div/dep/mar","none",3,"real estate",58,"stores","own",4,"unskilled resident",1,"yes","yes","good"
"no checking",15,"existing paid","domestic appliance",874,"no known savings","less than 1 year",4,"female div/dep/mar","none",1,"real estate",24,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",15,"existing paid","used car",1300,"no known savings","7 or more years",4,"male single","none",4,"no known property",45,"bank","for free",1,"skilled",2,"none","yes","good"
"overdrawn",6,"critical/order existing credit","new car",1361,"low savings","less than 1 year",2,"male single","none",4,"real estate",40,"stores","own",1,"unskilled resident",2,"none","no","good"
"low balance",18,"existing paid","business",2622,"low savings","1-3 years",4,"male single","none",4,"car",34,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",30,"existing paid","radio/tv",2333,"low savings","7 or more years",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",11,"critical/order existing credit","radio/tv",1154,"low savings","unemployed",4,"female div/dep/mar","none",4,"real estate",57,"stores","own",3,"unskilled resident",1,"none","yes","good"
"adequate balance",6,"critical/order existing credit","new car",1323,"low savings","7 or more years",2,"male div/sep","none",4,"car",28,"stores","own",2,"skilled",2,"yes","yes","good"
"overdrawn",30,"no credits/all paid","furniture/equipment",4583,"low savings","1-3 years",2,"male div/sep","guarantor",2,"real estate",32,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",1533,"low savings","less than 1 year",4,"female div/dep/mar","none",3,"car",38,"unknown","own",1,"skilled",1,"yes","yes","good"
"low balance",6,"critical/order existing credit","retraining",932,"no known savings","4-6 years",1,"female div/dep/mar","none",3,"life insurance",39,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",1291,"low savings","1-3 years",4,"female div/dep/mar","none",2,"life insurance",35,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",1262,"low savings","1-3 years",3,"male single","none",2,"car",25,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",24,"existing paid","other",1755,"low savings","7 or more years",4,"female div/dep/mar","guarantor",4,"real estate",58,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",24,"existing paid","furniture/equipment",4020,"low savings","1-3 years",2,"male single","none",2,"car",27,"unknown","own",1,"skilled",1,"none","yes","good"
"low balance",6,"existing paid","radio/tv",368,"no known savings","7 or more years",4,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",20,"delayed previously","used car",7057,"no known savings","4-6 years",3,"male single","none",4,"life insurance",36,"bank","rent",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",24,"delayed previously","new car",717,"no known savings","7 or more years",4,"male mar/wid","none",4,"car",54,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",21,"delayed previously","new car",2353,"low savings","1-3 years",1,"male div/sep","none",4,"life insurance",47,"stores","own",2,"skilled",1,"none","yes","good"
"low balance",24,"delayed previously","business",6967,"low savings","4-6 years",4,"male single","none",4,"car",36,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",3590,"low savings","1-3 years",2,"male single","co applicant",2,"life insurance",29,"stores","own",1,"unskilled resident",2,"none","yes","good"
"low balance",18,"existing paid","radio/tv",1113,"low savings","1-3 years",4,"female div/dep/mar","guarantor",4,"real estate",26,"stores","own",1,"unskilled resident",2,"none","yes","good"
"low balance",15,"existing paid","repairs",1514,"low savings","1-3 years",4,"male single","guarantor",2,"real estate",22,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",2578,"low savings","unemployed",3,"female div/dep/mar","none",4,"no known property",55,"stores","for free",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"no checking",42,"critical/order existing credit","furniture/equipment",4042,"low savings","1-3 years",4,"male single","none",4,"real estate",36,"stores","own",2,"skilled",1,"yes","yes","good"
"adequate balance",30,"critical/order existing credit","radio/tv",3656,"no known savings","7 or more years",4,"male single","none",4,"life insurance",49,"unknown","own",2,"unskilled resident",1,"none","yes","good"
"no checking",24,"existing paid","radio/tv",999,"no known savings","7 or more years",4,"male single","none",2,"car",25,"stores","own",2,"skilled",1,"none","yes","good"
"low balance",24,"delayed previously","new car",1965,"no known savings","1-3 years",4,"female div/dep/mar","none",4,"car",42,"stores","rent",2,"skilled",1,"yes","yes","good"
"no checking",10,"critical/order existing credit","new car",1231,"low savings","7 or more years",3,"male single","none",4,"real estate",32,"stores","own",2,"unskilled resident",2,"none","no","good"
"no checking",12,"critical/order existing credit","furniture/equipment",1258,"low savings","less than 1 year",2,"female div/dep/mar","none",4,"life insurance",22,"stores","rent",2,"unskilled resident",1,"none","yes","good"
"low balance",9,"critical/order existing credit","radio/tv",1154,"low savings","7 or more years",2,"male single","none",4,"real estate",37,"stores","own",3,"unskilled resident",1,"none","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1262,"no known savings","7 or more years",2,"male div/sep","none",4,"life insurance",49,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"no checking",12,"existing paid","education",1393,"low savings","7 or more years",4,"male single","none",4,"life insurance",47,"bank","own",3,"skilled",2,"yes","yes","good"
"overdrawn",12,"existing paid","furniture/equipment",1289,"low savings","1-3 years",4,"male single","guarantor",1,"life insurance",21,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",12,"existing paid","radio/tv",2279,"no known savings","1-3 years",4,"male single","none",4,"no known property",37,"stores","for free",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",1552,"low savings","4-6 years",3,"male single","none",1,"car",32,"bank","own",1,"skilled",2,"none","yes","good"
"no checking",12,"existing paid","new car",1101,"low savings","1-3 years",3,"male mar/wid","none",2,"real estate",27,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",7,"existing paid","radio/tv",2576,"low savings","1-3 years",2,"male single","guarantor",2,"real estate",35,"stores","own",1,"skilled",1,"none","yes","good"
"adequate balance",42,"no credits/all paid","business",6289,"low savings","less than 1 year",2,"male div/sep","none",1,"life insurance",33,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",1169,"no known savings","1-3 years",4,"male single","none",3,"life insurance",29,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",42,"critical/order existing credit","furniture/equipment",4042,"low savings","1-3 years",4,"male single","none",4,"real estate",36,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",15,"critical/order existing credit","used car",3368,"high savings","7 or more years",3,"male single","none",4,"no known property",23,"stores","rent",2,"skilled",1,"yes","yes","good"
"low balance",24,"existing paid","radio/tv",2896,"low savings","less than 1 year",2,"male single","none",1,"car",29,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",12,"existing paid","radio/tv",1158,"low savings","1-3 years",3,"male div/sep","none",1,"car",26,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",24,"existing paid","radio/tv",3105,"no known savings","less than 1 year",4,"male single","none",2,"car",25,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",15,"critical/order existing credit","radio/tv",1829,"low savings","7 or more years",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"yes","yes","good"
"overdrawn",6,"critical/order existing credit","new car",3676,"low savings","1-3 years",1,"male single","none",3,"real estate",37,"stores","rent",3,"skilled",2,"none","yes","good"
"overdrawn",6,"existing paid","new car",1203,"low savings","7 or more years",3,"male single","none",2,"life insurance",43,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",6,"existing paid","retraining",1238,"no known savings","unemployed",4,"male single","none",4,"life insurance",36,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"low balance",15,"existing paid","radio/tv",1444,"no known savings","less than 1 year",4,"male single","none",1,"life insurance",23,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","furniture/equipment",3780,"low savings","less than 1 year",3,"male div/sep","none",2,"car",35,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",20,"delayed previously","used car",7057,"no known savings","4-6 years",3,"male single","none",4,"life insurance",36,"bank","rent",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",24,"existing paid","furniture/equipment",3062,"low savings","7 or more years",4,"male single","none",3,"no known property",32,"stores","rent",1,"skilled",1,"yes","yes","good"
"overdrawn",12,"existing paid","new car",1893,"low savings","1-3 years",4,"female div/dep/mar","guarantor",4,"life insurance",29,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",36,"critical/order existing credit","radio/tv",3342,"no known savings","7 or more years",4,"male single","none",2,"car",51,"stores","own",1,"skilled",1,"yes","yes","good"
"overdrawn",21,"existing paid","radio/tv",3357,"high savings","less than 1 year",4,"female div/dep/mar","none",2,"car",29,"bank","own",1,"skilled",1,"none","yes","good"
"low balance",18,"existing paid","radio/tv",1301,"low savings","7 or more years",4,"male mar/wid","guarantor",2,"real estate",32,"stores","own",1,"unskilled resident",1,"none","yes","good"
"low balance",15,"existing paid","repairs",1308,"low savings","7 or more years",4,"male single","none",4,"car",38,"stores","own",2,"unskilled resident",1,"none","yes","good"
"overdrawn",24,"existing paid","used car",2910,"low savings","4-6 years",2,"male single","none",1,"no known property",34,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",18,"critical/order existing credit","radio/tv",1795,"low savings","7 or more years",3,"female div/dep/mar","guarantor",4,"real estate",48,"bank","rent",2,"unskilled resident",1,"yes","yes","good"
"adequate balance",12,"delayed previously","new car",2247,"low savings","1-3 years",2,"female div/dep/mar","none",2,"car",36,"unknown","own",2,"skilled",1,"yes","yes","good"
"no checking",15,"existing paid","domestic appliance",1262,"low savings","4-6 years",4,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",10,"existing paid","furniture/equipment",1521,"low savings","1-3 years",4,"male div/sep","none",2,"car",31,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",24,"critical/order existing credit","radio/tv",2223,"low savings","7 or more years",4,"male single","none",4,"life insurance",52,"bank","own",2,"skilled",1,"none","yes","good"
"low balance",15,"existing paid","repairs",2631,"low savings","1-3 years",3,"female div/dep/mar","none",2,"real estate",25,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1-3 years",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",15,"existing paid","domestic appliance",1262,"low savings","4-6 years",4,"male single","none",3,"life insurance",36,"stores","own",2,"skilled",1,"yes","yes","good"
"low balance",12,"no credits/all paid","retraining",1410,"low savings","1-3 years",2,"male single","none",2,"real estate",31,"stores","own",1,"unskilled resident",1,"yes","yes","good"
"low balance",18,"existing paid","radio/tv",866,"low savings","1-3 years",4,"male mar/wid","guarantor",2,"real estate",25,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",18,"critical/order existing credit","new car",1055,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",36,"existing paid","radio/tv",2299,"low savings","7 or more years",4,"male single","none",4,"car",39,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"existing paid","radio/tv",1680,"low savings","7 or more years",3,"male mar/wid","none",1,"real estate",35,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","furniture/equipment",1817,"low savings","1-3 years",4,"female div/dep/mar","none",2,"no known property",28,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",18,"critical/order existing credit","radio/tv",2404,"low savings","1-3 years",2,"female div/dep/mar","none",2,"car",26,"stores","own",2,"skilled",1,"none","yes","good"
"low balance",36,"existing paid","radio/tv",2323,"low savings","4-6 years",4,"male single","none",4,"car",24,"stores","rent",1,"skilled",1,"none","yes","good"
"overdrawn",24,"all paid","used car",3632,"low savings","1-3 years",1,"female div/dep/mar","guarantor",4,"car",22,"bank","rent",1,"skilled",1,"none","no","good"
"overdrawn",21,"existing paid","new car",3763,"no known savings","4-6 years",2,"male single","co applicant",2,"real estate",24,"stores","own",1,"unskilled resident",1,"none","no","good"
"no checking",18,"critical/order existing credit","radio/tv",629,"low savings","7 or more years",4,"male single","none",3,"life insurance",32,"bank","own",2,"high qualif/self emp/mgmt",1,"yes","yes","good"
"low balance",48,"all paid","business",3566,"low savings","4-6 years",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",30,"delayed previously","business",4272,"low savings","1-3 years",2,"male single","none",2,"life insurance",26,"stores","own",2,"unskilled resident",1,"none","yes","good"
"no checking",12,"critical/order existing credit","radio/tv",618,"low savings","7 or more years",4,"male single","none",4,"real estate",56,"stores","own",1,"skilled",1,"none","yes","good"
"overdrawn",12,"critical/order existing credit","used car",1409,"low savings","7 or more years",4,"male single","none",3,"real estate",54,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",15,"existing paid","used car",4657,"low savings","1-3 years",3,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",6,"existing paid","used car",1236,"low savings","1-3 years",2,"male single","none",4,"life insurance",50,"stores","rent",1,"skilled",1,"none","yes","good"
"no checking",21,"existing paid","new car",2782,"low savings","4-6 years",1,"female div/dep/mar","none",2,"car",31,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","good"
"low balance",6,"existing paid","repairs",454,"low savings","less than 1 year",3,"male mar/wid","none",1,"life insurance",22,"stores","own",1,"unskilled resident",1,"none","yes","good"
"overdrawn",36,"existing paid","used car",5493,"low savings","7 or more years",2,"male single","none",4,"no known property",42,"stores","for free",1,"skilled",2,"none","yes","good"
"no checking",24,"existing paid","used car",3488,"low savings","4-6 years",3,"female div/dep/mar","none",4,"car",23,"stores","own",1,"skilled",1,"none","yes","good"
"no checking",24,"delayed previously","used car",4679,"low savings","4-6 years",3,"male single","none",3,"car",35,"stores","own",2,"unskilled resident",1,"yes","yes","good"
"no checking",24,"existing paid","used car",6313,"no known savings","7 or more years",3,"male single","none",4,"car",41,"stores","own",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",12,"existing paid","radio/tv",3077,"low savings","1-3 years",2,"male single","none",4,"car",52,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",9,"existing paid","furniture/equipment",1388,"low savings","1-3 years",4,"female div/dep/mar","none",2,"real estate",26,"stores","rent",1,"skilled",1,"none","yes","good"
"low balance",48,"all paid","business",3566,"low savings","4-6 years",4,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"none","yes","good"
"low balance",18,"critical/order existing credit","radio/tv",1795,"low savings","7 or more years",3,"female div/dep/mar","guarantor",4,"real estate",48,"bank","rent",2,"unskilled resident",1,"yes","yes","good"
"no checking",15,"existing paid","new car",5324,"low savings","7 or more years",1,"female div/dep/mar","none",4,"no known property",35,"stores","for free",1,"skilled",1,"none","yes","good"
"no checking",48,"delayed previously","radio/tv",7238,"no known savings","7 or more years",3,"male single","none",3,"car",32,"bank","own",2,"skilled",2,"none","yes","good"
"no checking",4,"critical/order existing credit","radio/tv",1503,"low savings","4-6 years",2,"male single","none",1,"real estate",42,"stores","own",2,"unskilled resident",2,"none","yes","good"
"no checking",15,"critical/order existing credit","new car",5045,"no known savings","7 or more years",1,"female div/dep/mar","none",4,"car",59,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",24,"existing paid","radio/tv",1967,"low savings","7 or more years",4,"female div/dep/mar","none",4,"car",20,"stores","own",1,"skilled",1,"yes","yes","good"
"no checking",6,"critical/order existing credit","radio/tv",1237,"low savings","1-3 years",1,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"none","yes","good"
"low balance",9,"existing paid","radio/tv",2118,"low savings","1-3 years",2,"male single","none",2,"real estate",37,"stores","own",1,"unskilled resident",2,"none","yes","good"
"low balance",36,"existing paid","education",2273,"low savings","4-6 years",3,"male single","none",1,"car",32,"stores","own",2,"skilled",2,"none","yes","good"
"overdrawn",18,"existing paid","radio/tv",2389,"low savings","less than 1 year",4,"female div/dep/mar","none",1,"car",27,"unknown","own",1,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","radio/tv",1126,"no known savings","less than 1 year",4,"female div/dep/mar","none",2,"real estate",21,"stores","rent",1,"skilled",1,"yes","yes","good"
"overdrawn",12,"existing paid","radio/tv",1107,"low savings","1-3 years",2,"male single","none",2,"real estate",20,"stores","rent",1,"high qualif/self emp/mgmt",2,"yes","yes","good"
"overdrawn",12,"existing paid","new car",3651,"high savings","1-3 years",1,"male single","none",3,"life insurance",31,"stores","own",1,"skilled",2,"none","yes","good"
"no checking",12,"critical/order existing credit","new car",682,"low savings","4-6 years",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,"skilled",1,"yes","yes","good"
"no checking",12,"existing paid","new car",640,"low savings","1-3 years",4,"male div/sep","none",2,"real estate",49,"stores","own",1,"unskilled resident",1,"none","yes","good"
"no checking",6,"critical/order existing credit","new car",250,"high savings","1-3 years",2,"female div/dep/mar","none",2,"real estate",41,"bank","own",2,"unskilled resident",1,"none","yes","good"
"no checking",7,"delayed previously","radio/tv",846,"no known savings","7 or more years",3,"male single","none",4,"no known property",36,"stores","for free",1,"skilled",1,"none","yes","good"
"no checking",18,"existing paid","furniture/equipment",1984,"low savings","1-3 years",4,"male single","none",4,"no known property",47,"bank","for free",2,"skilled",1,"none","yes","good"
"adequate balance",12,"existing paid","radio/tv",1881,"low savings","1-3 years",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"yes","yes","good"
"overdrawn",24,"critical/order existing credit","used car",6419,"low savings","7 or more years",2,"female div/dep/mar","none",4,"no known property",44,"stores","for free",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"no checking",12,"existing paid","new car",2859,"no known savings","unemployed",4,"male single","none",4,"no known property",38,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"no checking",15,"existing paid","used car",4657,"low savings","1-3 years",3,"male single","none",2,"car",30,"stores","own",1,"skilled",1,"yes","yes","good"
"low balance",10,"all paid","radio/tv",1048,"low savings","1-3 years",4,"male single","none",4,"real estate",23,"unknown","own",1,"unskilled resident",1,"none","yes","good"
"no checking",18,"existing paid","new car",1820,"low savings","1-3 years",2,"male mar/wid","none",2,"life insurance",30,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","good"
"overdrawn",18,"existing paid","new car",4380,"low savings","1-3 years",3,"male single","none",4,"car",35,"stores","own",1,"unskilled resident",2,"yes","yes","good"
"no checking",24,"critical/order existing credit","used car",6842,"no known savings","1-3 years",2,"male single","none",4,"life insurance",46,"stores","own",2,"high qualif/self emp/mgmt",2,"yes","yes","good"
"low balance",11,"critical/order existing credit","new car",1322,"high savings","1-3 years",4,"female div/dep/mar","none",4,"car",40,"stores","own",2,"skilled",1,"none","yes","good"
"no checking",24,"delayed previously","business",2978,"no known savings","1-3 years",4,"male single","none",4,"real estate",32,"stores","own",2,"skilled",2,"yes","yes","good"
"no checking",10,"existing paid","new car",1546,"low savings","1-3 years",3,"male single","none",2,"real estate",31,"stores","own",1,"unskilled resident",2,"none","no","good"
"overdrawn",10,"existing paid","radio/tv",2315,"low savings","7 or more years",3,"male single","none",4,"real estate",52,"stores","own",1,"unskilled resident",1,"none","yes","good"
